No,Oil_and_Gas_Company,Procurement_Type,Procurement Title,Description,Start_Date,End_Date,Attachment
9,Petro Tech EP,Jasa,Time Charter Harbour Tugboat Services,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰Time Charter Harbour Tugboat Services). untuk menunjang kegiatan operasi di blok Jabung, Propinsi Jambi, Sumatera.",2023-12-06,2023-12-13,PCJ-2794-CA.pdf
11,Energy Ventures Ltd.,Jasa,"CRA Tubular Handling, Equipment and Services","Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰CRA Tubular Handling, Equipment and Services°¬ untuk menunjang kegiatan operasi pemboran PERUSAHAAN di blok Jabung, Jambi.",2023-12-06,2023-12-13,Re-tender PCJ-2793-CA.pdf
8,Fuel Fusion Ltd.,Jasa,Purchase of OCTG of Sirasun batur Development Well,Perusahan bermaksud untuk melakukan pembelian atas barang-barang OCTG untuk kegiatan pengeboran sumur-sumur pengembangan Sirasun Batur,2023-12-04,2023-12-11,0001-Revisi.pdf
32,PetroWave Ltd.,Barang,HEO AND TRANSPORT LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰HEO and Transport Labour Support Services °¬.,2023-11-06,2023-11-13,PCJ-2767-CA.pdf
41,Gas Solutions Ltd.,Jasa,Provision of Catering and Housekeeping Services,"Lingkup Pekerjaan:
Premier Oil membutuhkan jasa Kontraktor yang berkualitas dan dapat diandalkan untuk menyelenggarakan jasa katering, housekeeping, laundry dan layanan pengendalian hama di lokasi le",2023-11-06,2023-11-13,WO #33.pdf
44,PetroWave Ltd.,Jasa,"Handling of Oily Sludge and Oil Contaminated Soil at NG Sludge Pond, Jabung Block, Jambi Province",Calon Peserta Tender diminta untuk mengajukan proposal jasa kegiatan pengelolaan sludge berminyak dan tanah terkontaminasi minyak yang ditampung di NG Sludge Pond untuk jangka waktu selama 3 Tahun.,2023-11-06,2023-11-13,PCJ-2757-CAPengumuman Iklan CIVD.pdf
47,Energy Axis Ltd.,Jasa,Integrated Data Storage Services,Perusahaan membutuhkan Jasa jasa pekerjaan Offsite data storage dan Management,2023-11-06,2023-11-13,0201.OCT.2016.pdf
18,Oil Dynamics Ltd.,Jasa,Tender PT Medco E&amp;P Indonesia dan PT Medco E&amp;P Rimau,"Tender No. SM63416, MJ337707, BF10167",2023-11-06,2023-11-13,Iklan HU Kontan 16 Desember 2016 SM63416 MJ337707 BF10167.pdf
20,Gas Innovators Ltd.,Jasa,Provision of Conductor and Big Casing Supply,"Lingkup Pekerjaan: Premier Oil membutuhkan fabrikan dan/atau agen dari fabrikan untuk pengadaan Conductor Casing dan Big Casing (OCTG), beserta asesoris dan jasa-jasa pendukungnya.",2023-11-06,2023-11-13,WO #34 - Conductor Casing.pdf
22,Petro Power EP,Barang,DECANTING SPENT MOLECULAR SIEVE ADSORBENT AND RE-LOADING FRESH ADSORBENT INTO MOLECULAR SIEVE TOWERS 615-V-204-A/B,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰DECANTING SPENT MOLECULAR SIEVE ADSORBENT AND RE-LOADING FRESH ADSORBENT INTO MOLECULAR SIEVE TOWERS 615-V-204-A/B°¬,2023-11-06,2023-11-13,PCJ-2779 -CA.pdf
30,Energy Ventures Ltd.,Jasa,"EPCC Engineering, Procurement, Construction and Commissioning GTG and WHRU Addition at BGP","EPCC ÈÆ Engineering, Procurement, Construction, and Commissioning (Rancang bangun, Pengadaan, Konstruksi dan Commissioning) untuk penambahan GTG dan WHRU di BGP",2023-11-06,2023-11-13,BCD-504-CA.pdf
6,Petro Power EP,Barang,Provision of Medium Casing Supply (Limited Tender),"Premier Oil membutuhkan fabrikan dan/atau agen dari fabrikan untuk pengadaan OCTG Medium Size Casing (13-3/8°¬, 9-5/8°¬, 7°¬), beserta asesoris dan jasa-jasa pendukungnya.",2023-11-06,2023-11-13,WO #01 - Medium Casing - website_R1.pdf
10,Gas Solutions Ltd.,Jasa,"ENGINEERING DESIGN, MODIFY 5 UNIT SWITCHGEAR AND PROCUREMENT 5 UNIT NEW GAS ENGINE GENERATOR C/W NEW SWITCHGEAR","Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰ENGINEERING DESIGN, MODIFY 5 UNIT SWITCHGEAR AND PROCUREMENT 5 UNIT NEW GAS ENGINE GENERATOR C/W NEW SWITCHGEAR°¬.",2023-11-06,2023-11-13,PCJ-2070-CAIklan ULANG.pdf
12,Oil Quest Ltd.,Jasa,ISPS CODE VERIFICATION AND RECERTIFICATION SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰ISPS Code Verification and Recertification Services. Perkiraan pekerjaan dimulai tahun 2017,2023-11-06,2023-11-13,PCJ-2789-CA.pdf
14,Gas Nexus Ltd.,Jasa,Drilling Fluid Services for TSB Phase 2,"PERUSAHAAN memerlukan penyedia jasa-jasa, peralatan dan material lumpur, bahan kimia dan tenaga kerja Fluida Pemboran HPWBM (High Performance Water Base Mud) untuk mendukung aktifitas operasi pemboran",2023-11-06,2023-11-13,0209.pdf
53,Gas Solutions Ltd.,Jasa,Provision of Disaster Recovery Center System,"PERUSAHAAN membutuhkan solusi total secara keseluruhan untuk memenuhi kebutuhan system DRC (Disaster Recovery Centre). 
Spesifikasi ini adalah kebutuhan minimum untuk menyediakan penyewaan tempat dan",2023-10-25,2023-11-01,Pengunguman Lelang - Eproc.pdf
56,PetroWave Ltd.,Jasa,Jasa-jasa Subsea Well Cleaning Flow untuk Sirasun-Batur/ Subsea Well Cleaning Flow Services for Sirasun-Batur,Jasa-jasa Subsea Well Cleaning Flow untuk Sirasun-Batur/ Subsea Well Cleaning Flow Services for Sirasun-Batur,2023-10-25,2023-11-01,0196.aug.2016.pdf
31,Oil Quest Ltd.,Jasa,OPERATION AND FIELD ENGINEERING LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Operation and Field Engineering Labour Support Services°¬,2023-10-25,2023-11-01,PCJ-2769-CA.pdf
25,Gas Innovators Ltd.,Barang,Road and Location Construction Services Gemah #55 &amp; 56,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰Road and Location Construction Services Gemah #55 &amp; 56°¬ untuk menunjang kegiatan operasi di blok Jabung,",2023-10-25,2023-11-01,PCJ-2788-CA.pdf
7,Oil Dynamics Ltd.,Barang,Purchase of 20°¬ Conductor Casing of Sirasun Batur Development Well,"Perusahan akan melakukan pembelian :
-	20"" Casing, 106.5 ppf, X-56, 0.5°¬ WT, Quick Connect, API 5L, R3, complete with Anti Rotation Key and O-Ring as required.
detail terlampir dalam pengumuman.",2023-10-25,2023-11-01,Notice of tender.pdf
50,GasMax EP,Jasa,"Addendum to the Existing AMDAL for Betara Complex POFD, South Betara POD and West Betara POD in Jabung Block, Jambi Province","Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Addendum to the Existing AMDAL for Betara Complex POFD, South Betara POD and West Betara POD in Jabung Block, Jambi",2023-10-24,2023-10-31,PCJ-2747-CA CIVD retender.pdf
52,Petro Tech EP,Jasa,REPLACEMENT NETWORK INFRASTRUCTURE PHASE II,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰REPLACEMENT NETWORK INFRASTRUCTURE PHASE II. Perkiraan pekerjaan dimulai tahun 2016 untuk jangka waktu selama 60 bulan.,2023-10-24,2023-10-31,PCJ-2745-CA CIVD ULANG.pdf
55,Oil Quest Ltd.,Jasa,Materi Presentasi Acara Sosialisasi CIVD,Terlampir materi presentasi acara sosialisasi CIVD tanggal 01 September 2016 di SKK Migas Gd. City Plaza,2023-10-24,2023-10-31,CIVD - Vendor Socialization.pdf
58,Gas Nexus Ltd.,Barang,Jasa Pengadaan Open Hole Gravel Pack (OHGP) Untuk Sirasun Batur,PERUSAHAAN memerlukan penyedia jasa untuk menyediakan peralatan and jasa untuk menyelesaikan komplesi sumur-sumur gas Sirasun Batur dengan sistem OHGP yang dilengkapi dengan teknik shunt tube/ „‰Shunt,2023-10-24,2023-10-31,Notice of Tender-PTK007 rev III (Final-REBID).pdf
59,Energy Axis Ltd.,Barang,PROVISION OF CAPILLARY STRING FOR PAGERUNGAN FIELD,Perusahaan membutuhkan Jasa jasa „‰Capilary String°¬ dilapangan Pagerungan,2023-10-24,2023-10-31,NOT.pdf
60,Oil Dynamics Ltd.,Jasa,SUBSEA WELL CLEANING FLOW SERVICES FOR SIRASUN-BATUR,"KONTRAKTOR wajib menyediakan Jasa-jasa Subsea Well Cleaning Flow, yang akan digunakan untuk mendukung program pemboran dan komplesi pengaliran kembali 4 (empat) sumur bawah laut di lapangan gas lepas",2023-10-24,2023-10-31,Notice of Tender PTK007 III - 20140004.pdf
33,Gas Nexus Ltd.,Jasa,LOGISTIC LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰LOGISTIC LABOUR SUPPORT SERVICES°¬.,2023-10-24,2023-10-31,PCJ-2772-CA.pdf
36,Oil Dynamics Ltd.,Jasa,FIELD ADMINISTRATION AND PUBLIC &amp; RELATION LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰FIELD ADMINISTRATION AND PUBLIC &amp; RELATION LABOUR SUPPORT SERVICES°¬.,2023-10-24,2023-10-31,PCJ-2773 -CA.pdf
39,Fuel Fusion Ltd.,Barang,TCP Perforating and Drill Stem Testing Equipment and Services,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰TCP Perforating and Drill Stem Testing Equipment and Services°¬ untuk menunjang kegiatan operasi di blok Jabung,waktu 24 bulan",2023-10-24,2023-10-31,PCJ-2698-CA Pengumuman Iklan (Re-tender).pdf
43,Oil Quest Ltd.,Jasa,Materi Presentasi Acara Sosialisasi CIVD,Terlampir materi presentasi acara sosialisasi CIVD,2023-10-24,2023-10-31,CIVD - Vendor Socialization.pdf
46,Gas Nexus Ltd.,Jasa,HLO and GSS Office Support Personnel Services,PERUSAHAAN memerlukan penyedia jasa-jasa tenaga kerja untuk menyediakan jasa-jasa pekerja sebagai HLO (Helicopter Landing Officer) dan GSS (General Services Support Personnel),2023-10-24,2023-10-31,0202.OCT.2016.pdf
49,PetroPulse EP EP,Jasa,SHE and Inspection Support Services for TSB Phase 2,"PERUSAHAAN memerlukan penyedia jasa untuk menyediakan jasa-jasa yang berhubungan dengan safety, health, dan environment (SHE) dan melakukan jasa-jasa inspeksi selama pelaksanaan Proyek Terang Sirasun",2023-10-24,2023-10-31,Notice of Tender for Bid No 20160250-2749-CON-TSB-X-OT..pdf
16,PetroWave Ltd.,Barang,Blanket Purchase of Lubricant for 2 years usage,PERUSAHAAN membutuhkan KONTRAKTOR untuk menyediakan Jasa-jasa Pengadaan minyak pelumas untuk mendukung kelanjutan aktivitas yang sekarang sedang berjalan.,2023-10-24,2023-10-31,207-dec-2016.pdf
21,Fuel Fusion Ltd.,Jasa,"Handling of Oily Sludge and Oil Contaminated Soil at NG Sludge Pond, Jabung Block, Jambi Province",Calon Peserta Tender diminta untuk mengajukan proposal jasa kegiatan pengelolaan sludge berminyak dan tanah terkontaminasi minyak yang ditampung di NG Sludge Pond di wilayah kerja di Blok Jambi.,2023-10-24,2023-10-31,PCJ-2757-CA Ulang CIVD.pdf
23,GasMax EP,Barang,DECANTING SPENT MEMGUARD ADSORBENT AND RE-LOADING FRESH ADRSORBENT INTO MEMGUARD TOWERS 610-V-202-A/B,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰DECANTING SPENT MEMGUARD ADSORBENT AND RE-LOADING FRESH ADRSORBENT INTO MEMGUARD TOWERS 610-V-202-A/B°¬.,2023-10-24,2023-10-31,PCJ-2778-CA.pdf
26,Oil Dynamics Ltd.,Jasa,Liner Hanger Services for TSB Phase 2,"PERUSAHAAN membutuhkan kontraktor Peralatan dan Jasa-jasa Liner Hanger untuk TSB Fase-2 yang sesuai dan memenuhi syarat untuk menyediakan material, peralatan, pekerja dan jasa-jasa.",2023-10-24,2023-10-31,Notice of Tender - Liner Hanger.pdf
28,Petro Tech EP,Barang,Sirasun-Batur Upper Completion Equipment and Services,"PERUSAHAAN membutuhkan kontraktor Upper Completion Equipment and Services yang sesuai dan memenuhi syarat untuk menyediakan material, peralatan, personil dan jasa-jasa.",2023-10-24,2023-10-31,Notice of Tender-eproc.pdf
1,Gas Innovators Ltd.,Barang,Crude Oil Tank Truck Transportation Rental Services,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Crude Oil Tank Truck Transportation Rental Services°¬,2023-10-24,2023-10-31,PCJ-2803-VA.pdf
15,Gas Nexus Ltd.,Jasa,Provision of ROV Services for TSB Phase 2,"Perusahaan membutuhkan Jasa jasa ROV services , terdiri dari penyediaan peralatan, pekerja, material untuk menunjang kegiatan pemboran perusahaan",2023-10-23,2023-10-30,e-proc.pdf
2,Gas Innovators Ltd.,Jasa,VSAT Link Rental and Services for Rig Jabung,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰VSAT Link Rental and Services for Rig Jabung°¬ untuk mendukung kegiatan operasional Perusahaan di blok Jabung, Jambi, Sumatera",2023-10-23,2023-10-30,PCJ-2802-CA.pdf
3,Petro Power EP,Barang,PROVIDE AQUA BOTTLE SUPPLY AND RENT DISPENSER FOR PETROCHINA OFFICE FROM LOBBY TO 27th FLOOR,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Provide Aqua Bottle Supply and Rent Dispenser for PetroChina Office,2023-10-23,2023-10-30,PCJ-2801-CA.pdf
5,Petro Power EP,Jasa,Provision Of 2 SME to support operational,PERUSAHAAN memerlukan tenaga kerja SME Drilling dan Reservoir Sr Specialist untuk mendukung aktivitas di kantor Jakarta,2023-10-23,2023-10-30,0003.pdf
4,GasMax EP,Jasa,Drilling Rig Services 750 HP,Calon Peserta Lelang diminta untuk mengajukan proposal jasa 1 (unit) unit rig pemboran di darat dengan kapasitas 750 HP untuk jangka waktu 12 (dua belas) bulan yang akan dimulai segera,2023-10-23,2023-10-30,PCJ-2798-CA.pdf
13,PetroWave Ltd.,Barang,Manpower Services for National Company Man,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Manpower Services for National Company Man°¬. Perkiraan pekerjaan dimulai segera untuk jangka waktu selama 12 (dua belas),2023-10-23,2023-10-30,PCJ-2795-CA.pdf
17,Oil Dynamics Ltd.,Jasa,"Bradenhead Installation, Welding, and Testing Services in Block A","""menyediakan dan melaksanakan pekerjaan brandenhead services""
Kualifikasi:UK,UM,UB
Klasifikasi:Pemotongan Sumur di Daratan, Peralatan Operasi Sumur Pemboran
Min.TKDN:35%
Pendaftaran:20-27 Des 2016",2023-10-23,2023-10-30,Iklan HU Kontan 20 Desember 2016 BF10390 BF10344.pdf
19,Gas Innovators Ltd.,Barang,"Border Stacking and Timber Cruising Gemah #51, #52, #53, Ripah #26 and ROWŸ¨S and Timber Cruising and PSDH/DR/PNT for 4 ROWŸ¨S",Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Border Stacking and Timber Cruising Services°¬.,2023-10-23,2023-10-30,PCJ-2780-CA ULANG.pdf
24,Energy Source EP,Jasa,Road and Location Construction Services Gemah #52 &amp; 62,Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰Road and Location Construction Services Gemah #52 &amp; 62°¬ untuk menunjang kegiatan operasi di blok Jabung,2023-10-23,2023-10-30,PCJ-2787-CA.pdf
27,Fuel Fusion Ltd.,Jasa,Materi Presentasi Acara Sosialisasi CIVD,Terlampir materi presentasi acara sosialisasi CIVD,2023-10-22,2023-10-29,Sosialisasi CIVD_Des 2016.pdf
29,Gas Solutions Ltd.,Jasa,SUCKER ROD PUMP EQUIPMENT AND SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰SUCKER ROD PUMP EQUIPMENT AND SERVICES°¬. Perkiraan pekerjaan dimulai segera untuk jangka waktu selama 12 (dua belas) bul,2023-10-22,2023-10-29,PCJ-2704-CA.pdf
34,Gas Nexus Ltd.,Jasa,HSE LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰HSE LABOUR SUPPORT SERVICES°¬,2023-10-22,2023-10-29,PCJ-2770-CA.pdf
35,Energy Axis Ltd.,Jasa,Welding &amp; Fabrication Shop Labour Support Services,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Welding &amp; Fabrication Shop Labour Support Services °¬.,2023-10-22,2023-10-29,PCJ-2766-CA.pdf
37,PetroPulse EP EP,Jasa,Wireline Logging Equipment and Services,Calon Peserta Lelang diminta untuk mengajukan proposal jasa yang mencakup jasa Penyedia Barang/Jasa diminta menyediakan Jasa 2 (Unit) Wireline Logging Equipment dan Personil untuk jangka waktu 6 bulan,2023-10-22,2023-10-29,PCJ-2730-CA Re-Tender.pdf
38,GasMax EP,Barang,"Supply, Installation and Services of Wellhead, Split Unihead and Christmas Tree","Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Supply, Installation and Services of Wellhead, Split Unihead and Christmas Tree°¬. Perkiraan pekerjaan dimulai tahun 2016",2023-10-22,2023-10-29,PCJ-2728-CA Re-Tender.pdf
40,Petro Tech EP,Jasa,"OPERATION, ENGINEERING AND MAINTENANCE SUPPORT SERVICES","PERUSAHAAN memerlukan KONTRAKTOR untuk menyediakan jasa-jasa perawatan, perbaikan, fabrikasi, modifikasi, konstruksi dan pemasokan suku cadang untuk mendukung kegiatan Operasi PERUSAHAAN",2023-10-22,2023-10-29,0204.NOV.2016.pdf
42,Energy Ventures Ltd.,Barang,Explosive Permit Handling Services,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰Explosive Permit Handling Services°¬. Perkiraan pekerjaan dimulai segera untuk jangka waktu selama 2 (dua) tahun.,2023-10-22,2023-10-29,PCJ-2755-CA RE TENDER.pdf
